protein,cancer_types,pmids,dois
esistance to chimeric antigen receptor t-cell (car-t) and t-cell eng,myeloma,40906971,10.1158/2643-3230.BCD-25-0005
timing genomic antigen loss in multiple myeloma trea,myeloma,40906971,10.1158/2643-3230.BCD-25-0005
act of human epidermal growth factor receptor 2 in patients with m,colorectal cancer,40906970,10.1200/JCO-25-01003
impact of human epidermal growth factor receptor 2 in patients with m,colorectal cancer,40906970,10.1200/JCO-25-01003
human epidermal growth factor receptor 2 in patients with metastatic,colorectal cancer,40906970,10.1200/JCO-25-01003
"Receptors, Antigen, B-Cell",leukemia,40906805,10.1073/pnas.2426935122
Toll-Like Receptor 9,leukemia,40906805,10.1073/pnas.2426935122
"n circulation express pd-1, a protein normally expressed in t cells",leukemia,40906805,10.1073/pnas.2426935122
Agammaglobulinaemia Tyrosine Kinase,leukemia,40906805,10.1073/pnas.2426935122
intensification with androgen receptor signaling inhibitors and/or c,prostate cancer,40906580,10.1002/cncr.70070
tion in patients with de novo hormone-sensitive metastatic prostate,prostate cancer,40906580,10.1002/cncr.70070
", patient-, and tumor-related factors associated with the receipt",prostate cancer,40906580,10.1002/cncr.70070
"ferritinophagy. cafs secrete factors, in a ddr2-dependent manner,",ovarian cancer,40906573,10.1158/1541-7786.MCR-25-0268
he collagen receptor tyrosine kinase ddr2 in cafs confers parpi pr,ovarian cancer,40906573,10.1158/1541-7786.MCR-25-0268
s: the action of the collagen receptor tyrosine kinase ddr2 in cafs,ovarian cancer,40906573,10.1158/1541-7786.MCR-25-0268
"t the human ortholog, ppp1cc (protein phosphatase 1 catalytic subun",liver cancer,40906558,10.1016/j.celrep.2025.116240
(rhoa)/rho-associated protein kinase (rock) signaling pathway. stu,melanoma,40906537,10.1002/1878-0261.70114
tching. rho gtpase-activating protein 29 (arhgap29) is an inhibitor,melanoma,40906537,10.1002/1878-0261.70114
te cancer harbors an androgen receptor activity-low subpopulation su,prostate cancer,40906535,10.1172/JCI189900
nal responders had lower her2 protein in pretreatment biopsies. the,prostate cancer,40906535,10.1172/JCI189900
mmunogenicity for vaccine and protein replacement applications. how,melanoma,40906496,10.1002/adhm.202503771
"decline in prostate-specific antigen (psa), and/or circulating tum",prostate cancer,40906325,10.1007/s10637-025-01580-1
failed at least one androgen receptor signaling inhibitor were enro,prostate cancer,40906325,10.1007/s10637-025-01580-1
nts with her2 3 + and hormone receptor-negative and positive status.,breast cancer,40905870,10.4103/jcrt.jcrt_210_25
in patients with her2 3 + and hormone receptor-negative and positiv,breast cancer,40905870,10.4103/jcrt.jcrt_210_25
Cation Transport Proteins,ovarian cancer,40905868,10.4103/jcrt.jcrt_28_25
"m2 macrophages. finally, the protein expression levels of the key",ovarian cancer,40905868,10.4103/jcrt.jcrt_28_25
